bibcode,title,first_author,year,pub,doi,abstract,citation_count,epoch_search,is_seed,has_abstract,site_name,best_fit_martian_epoch,analogue_recognition_status,epoch_rationale,ph_range,temperature_profile,mineralogy_and_geochemistry,water_activity_and_aridity,feasibility_score,verbatim_quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008comc.book.....E,['Chemical Oceanography and the Marine Carbon Cycle'],"Emerson, Steven",2008,Chemical Oceanography and the Marine Carbon Cycle,,"The principles of chemical oceanography provide insight into the processes regulating the marine carbon cycle. The text offers a background in chemical oceanography and a description of how chemical elements in seawater and ocean sediments are used as tracers of physical, biological, chemical and geological processes in the ocean. The first seven chapters present basic topics of thermodynamics, isotope systematics and carbonate chemistry, and explain the influence of life on ocean chemistry and how it has evolved in the recent (glacial-interglacial) past. This is followed by topics essential to understanding the carbon cycle, including organic geochemistry, air-sea gas exchange, diffusion and reaction kinetics, the marine and atmosphere carbon cycle and diagenesis in marine sediments. Figures are available to download from www.cambridge.org/9780521833134. Ideal as a textbook for upper-level undergraduates and graduates in oceanography, environmental chemistry, geochemistry and earth science and a valuable reference for researchers in oceanography.",96,noachian,FALSE,TRUE,Global Oceans (General Marine Carbonate System),Noachian,Implicit,"The text focuses on carbonate chemistry, thermodynamics, and diagenesis in marine sediments, which are key chemical processes for understanding the neutral-to-alkaline aqueous environments of the Noachian epoch on Mars. During the Noachian, Mars is hypothesized to have had sustained liquid water and potential oceans or large lakes where carbonate precipitation and carbon cycling would have operated under similar thermodynamic constraints as Earth's marine systems.",Not specified,Not specified,"Carbonates, organic compounds, stable isotopes",Sustained water activity (marine liquid water),2,"The first seven chapters present basic topics of thermodynamics, isotope systematics and carbonate chemistry, and explain the influence of life on ocean chemistry and how it has evolved in the recent (glacial-interglacial) past.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021ScTEn.75241956Y,['Metal type and aggregate microenvironment govern the response sequence of speciation transformation of different heavy metals to microplastics in soil'],"Yu, Hong",2021,Science of the Total Environment,10.1016/j.scitotenv.2020.141956,"Microplastics change the physical, chemical, and biological processes in soil, and these changes further affect the transformations of heavy metal speciation in soil. Whether this influence mechanism differs between heavy metals is unknown on the soil aggregates level. In this study, 5 months incubation experiments and soil fractionation were conducted to evaluate the effect of microplastic addition on the chemical speciation of seven heavy metals (Zn, Cu, Ni, Cd, Cr, As, and Pb) in the three soil aggregate fractions. The results show that 28% concentration of polyethylene microplastics with size 100 μm reduces and increases the heavy metal content in the bioavailable and organic-bound fractions, respectively, indicating that microplastics promote the transformation from bioavailable to organic-bound species. The transformation in the larger-sized aggregate fractions is more dramatic than that of smaller-sized aggregate fractions within the incubation period. This indicates that the extent of the response of the different heavy metals to microplastics is significantly different in the three aggregate-size fractions. Soil physicochemical factors affected different heavy metals in different pathways, and microplastics have different adsorption or complexation effects on different heavy metals. These processes result in heterogeneous responses of different heavy metals to microplastic addition. In addition, the microplastics have different extents of influence on the different chemical speciation of the heavy metals, having the greatest influence on the exchangeable and carbonate-bound of Cu and Zn, FeMn oxide-bound of As, and organic-bound of Cr, Ni, Cd, and Pb. This phenomenon is relatively consistent among the three aggregate-size fractions. Our findings provide more accurate management information for soil environmental quality management with different heavy metal pollution and different soil types.",95,noachian,FALSE,TRUE,N/A (Standard experimental soil),None,Implicit,"The paper describes an incubation study of heavy metal speciation in soil aggregates affected by microplastic pollution. It does not investigate any extreme environments, hydrothermal systems, highly acidic settings, or hyper-arid cryo-environments that could serve as analogues or proxies for Noachian, Hesperian, or Amazonian Martian conditions.",Not specified,Not specified,"Carbonate-bound, Fe-Mn oxides, organic-bound heavy metals (Zn, Cu, Ni, Cd, Cr, As, Pb)",Not specified,1,"In this study, 5 months incubation experiments and soil fractionation were conducted to evaluate the effect of microplastic addition on the chemical speciation of seven heavy metals (Zn, Cu, Ni, Cd, Cr, As, and Pb) in the three soil aggregate fractions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016JEST...13..937M,['Performance of microbial-induced carbonate precipitation on wind erosion control of sandy soil'],"Maleki, M.",2016,International Journal of Environmental Science and Technology,10.1007/s13762-015-0921-z,"Wind erosion is a serious problem throughout the world which results in soil and environment degradation and air pollution. The main objective of this study was to evaluate feasibility of microbial-induced carbonate precipitation, as a novel soil-strengthening technique, to reduce wind erosion risk of a sandy soil. For this purpose, the erosion of biocemented soil samples was investigated experimentally in a wind tunnel under the condition of wind velocity of 45 km h<SUP>−1</SUP>. The weight loss of treated samples relative to the weight loss of control treatment was 1.29 and 0.16 % for low and high bacterial mix concentrations, respectively, indicating a significant improvement in erosion control in biologically treated samples. The effect of biological treatment on wind erosion control was even superior at the higher velocities. Thereafter, the penetration resistance of the surface layers as a simple index of resistance against wind erosion was measured. Significant improvements in the penetration resistance of the treated soil samples were observed. Although low bacterial mix concentrations did not significantly improve the penetration resistance of the samples, significant improvements in the penetration resistance of the treated soil samples were observed reaching to the highest measured strength (56 kPa) in high bacterial mix concentrations samples. Finally, the morphology of precipitated CaCO<SUB>3</SUB> crystals using scanning electron microscopy and X-ray powder diffraction analysis showed that the CaCO<SUB>3</SUB> was mainly precipitated as vaterite crystals forming point-to-point contacts between the sand granules.",95,noachian,FALSE,TRUE,Experimental sandy soil (Microbial-Induced Carbonate Precipitation),Noachian,Implicit,"The study investigates microbial-induced carbonate precipitation (MICP) in sandy soils, resulting in the precipitation of calcium carbonate (vaterite). This process of biomineralization and cementation of detrital grains mirrors Noachian Martian conditions, which featured neutral-to-alkaline aqueous environments conducive to carbonate precipitation. Such systems serve as key analogues for understanding how early Martian microbial life might have left mineralogical biosignatures (e.g., carbonate cements) within ancient regolith or sand sheets.",Not specified,Not specified,"Calcium carbonate (CaCO3), vaterite, sand granules (silicates)",Not specified,2,"Finally, the morphology of precipitated CaCO3 crystals using scanning electron microscopy and X-ray powder diffraction analysis showed that the CaCO3 was mainly precipitated as vaterite crystals forming point-to-point contacts between the sand granules.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012GCBio..18..854R,"['Ocean acidification and seaweed reproduction: increased CO<SUB>2</SUB> ameliorates the negative effect of lowered pH on meiospore germination in the giant kelp Macrocystis pyrifera (Laminariales, Phaeophyceae)']","Roleda, Michael Y.",2012,Global Change Biology,10.1111/j.1365-2486.2011.02594.x,"The worldwide effects of ocean acidification (OA) on marine species are a growing concern. In temperate coastal seas, seaweeds are dominant primary producers that create complex habitats and supply energy to higher trophic levels. Studies on OA and macroalgae have focused on calcifying species and adult stages, but critically, they have overlooked the microscopic stages of the reproductive life cycle, which, for other anthropogenic stressors, e.g., UV-B radiation, are the most susceptible life-history phase. Also, environmental cues and stressors can cause changes in the sex ratio, which has implications for the mating system and recruitment success. Here, we report the effects of pH (7.59-8.50) on meiospore germination and sex determination for the giant kelp, Macrocystis pyrifera (Laminariales), in the presence and absence of additional dissolved inorganic carbon (DIC). Lowered pH (7.59-7.60, using HCl-only) caused a significant reduction in germination, whereas added DIC had the opposite effect, indicating that increased CO<SUB>2</SUB> at lower pH ameliorates physiological stress. This finding also highlights the importance of appropriate manipulation of seawater carbonate chemistry when testing the effects of OA on photosynthetic organisms. The proportion of male to female gametophytes did not vary significantly between treatments, suggesting that pH was not a primary environmental modulator of sex. Relative to the baseline (pH 8.19), gametophytes were 32% larger under moderate OA (pH 7.86) and 10% larger under extreme OA (pH 7.61). We suggest that metabolically active cells can compensate for the acidification of seawater. This homeostatic function minimizes the negative effects of lower pH (high H<SUP>+</SUP> ions) on cellular activity. The 6-9% reduction in germination success under extreme OA suggests that meiospores of M. pyrifera may be resistant to future OA.",95,noachian,FALSE,TRUE,Temperate coastal oceans (general marine environment),None,Implicit,"The study focuses on modern marine ecosystems and the physiological response of multicellular eukaryotic giant kelp (Macrocystis pyrifera) to ocean acidification. Because multicellular eukaryotic life like kelp is not a relevant target for Martian astrobiology and the pH range (7.59-8.50) represents modern Earth marine conditions rather than Martian planetary analogues, there is no fit with Noachian, Hesperian, or Amazonian geochemical environments.",pH 7.59 - 8.50,Not specified (temperate coastal seawater),"Dissolved inorganic carbon (DIC), carbon dioxide (CO2), carbonate chemistry","Marine environment (fully saturated, high water activity)",1,"Here, we report the effects of pH (7.59-8.50) on meiospore germination and sex determination for the giant kelp, Macrocystis pyrifera (Laminariales), in the presence and absence of additional dissolved inorganic carbon (DIC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015GCBio..21..223B,['The dynamics of architectural complexity on coral reefs under climate change'],"Bozec, Yves-Marie",2015,Global Change Biology,10.1111/gcb.12698,"One striking feature of coral reef ecosystems is the complex benthic architecture which supports diverse and abundant fauna, particularly of reef fish. Reef-building corals are in decline worldwide, with a corresponding loss of live coral cover resulting in a loss of architectural complexity. Understanding the dynamics of the reef architecture is therefore important to envision the ability of corals to maintain functional habitats in an era of climate change. Here, we develop a mechanistic model of reef topographical complexity for contemporary Caribbean reefs. The model describes the dynamics of corals and other benthic taxa under climate-driven disturbances (hurricanes and coral bleaching). Corals have a simplified shape with explicit diameter and height, allowing species-specific calculation of their colony surface and volume. Growth and the mechanical (hurricanes) and biological erosion (parrotfish) of carbonate skeletons are important in driving the pace of extension/reduction in the upper reef surface, the net outcome being quantified by a simple surface roughness index (reef rugosity). The model accurately simulated the decadal changes of coral cover observed in Cozumel (Mexico) between 1984 and 2008, and provided a realistic hindcast of coral colony-scale (1-10 m) changing rugosity over the same period. We then projected future changes of Caribbean reef rugosity in response to global warming. Under severe and frequent thermal stress, the model predicted a dramatic loss of rugosity over the next two or three decades. Critically, reefs with managed parrotfish populations were able to delay the general loss of architectural complexity, as the benefits of grazing in maintaining living coral outweighed the bioerosion of dead coral skeletons. Overall, this model provides the first explicit projections of reef rugosity in a warming climate, and highlights the need of combining local (protecting and restoring high grazing) to global (mitigation of greenhouse gas emissions) interventions for the persistence of functional reef habitats.",95,noachian,FALSE,TRUE,Cozumel (Mexico) and Caribbean reefs,None,Implicit,"The study focuses on modern, multicellular biogenic coral reef ecosystems and their architectural complexity under climate change. This environment does not mirror any Martian epoch, as Mars lacks evidence of multicellular life, biogenic carbonate reef structures, or open marine conditions during the Noachian, Hesperian, or Amazonian epochs.",Not specified,Modern tropical ocean temperatures subject to global warming and thermal stress,Calcium carbonate (biogenic skeletal aragonite/calcite),"Marine environment (fully saturated, high water activity)",1,"Reef-building corals are in decline worldwide, with a corresponding loss of live coral cover resulting in a loss of architectural complexity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995Sedim..42...57B,"['Ooidal ironstones and ferruginous microbialites: origin and relation to sequence stratigraphy (Aalenian and Bajocian, Swiss Jura mountains)']","Burkhalter, Reto M.",1995,Sedimentology,10.1111/j.1365-3091.1995.tb01271.x,"Aalenian and lower Bajocian rocks in the central and northern Swiss Jura mountains comprise a series of parasequences that mainly reflect a shallowing-upward trend in a shallow, mixed carbonate/siliciclastic depositional environment. Within a parasequence, ooidal ironstones may occur at three specific types of horizons. These are: regressional discontinuities and transgressional discontinuities formed by sediment bypassing, and omissional discontinuities formed by starvation. Ooidal ironstones, which principally are autochthonous, accumulated during both sea-level rises and falls in a relatively broad bathymetric and hydrodynamic spectrum. The key physical factor for ferruginous ooid genesis is non-deposition. Ferruginous ooids and microbialites consist of goethite, chamosite and mixtures thereof, with subordinate amounts of apatite and silica. Ferruginous ooids grew stepwise on the sediment surface in an oxygenated marine environment. Ferruginous microbialites, being the product of benthic microbial communities, grew - partly in cavities - in aerated moderate- to high-energy environments. Thus, chamosite evolved from a precursor substance stable under oxidizing conditions. The close mineralogical and micromorphological resemblance of ferruginous microbialites and ooids suggests a common biogenic origin. Structural rearrangement of a biologically accreted gel-like precursor substance consisting of various amorphous hydroxides is considered a probable mode of mineral genesis in both ferruginous ooids and microbialites.",95,noachian,FALSE,TRUE,Swiss Jura mountains,Noachian,Implicit,"The shallow, mixed carbonate/siliciclastic depositional environment of the Swiss Jura mountains represents a sustained aqueous system with neutral-to-alkaline conditions, characteristic of the Martian Noachian epoch. The mineralogical suite, dominated by chamosite (an iron-rich chlorite/phyllosilicate), goethite (iron oxyhydroxide), and carbonates, closely mirrors the clay-carbonate-iron mineral assemblages detected in Noachian terrains on Mars. Additionally, the presence of ferruginous microbialites provides an analogue for potential biogenic structures and iron-cycling biosignatures in early Martian lacustrine or shallow marine environments.",Not specified,Not specified,"goethite, chamosite, apatite, silica, amorphous hydroxides, carbonates",Sustained water activity (shallow marine depositional environment),4,"Ferruginous ooids and microbialites consist of goethite, chamosite and mixtures thereof, with subordinate amounts of apatite and silica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011GeCoA..75.2237S,['Insights into C and H storage in the altered oceanic crust: Results from ODP/IODP Hole 1256D'],"Shilobreeva, S.",2011,Geochimica et Cosmochimica Acta,10.1016/j.gca.2010.11.027,"Carbon and hydrogen concentrations and isotopic compositions were measured in 19 samples from altered oceanic crust cored in ODP/IODP Hole 1256D through lavas, dikes down to the gabbroic rocks. Bulk water content varies from 0.32 to 2.14 wt% with δD values from -64‰ to -25‰. All samples are enriched in water relative to fresh basalts. The δD values are interpreted in terms of mixing between magmatic water and another source that can be either secondary hydrous minerals and/or H contained in organic compounds such as hydrocarbons. Total CO <SUB>2</SUB>, extracted by step-heating technique, ranges between 564 and 2823 ppm with δ <SUP>13</SUP>C values from -14.9‰ to -26.6‰. As for water, these altered samples are enriched in carbon relative to fresh basalts. The carbon isotope compositions are interpreted in terms of a mixing between two components: (1) a carbonate with δ <SUP>13</SUP>C = -4.5‰ and (2) an organic compound with δ <SUP>13</SUP>C = -26.6‰. A mixing model calculation indicates that, for most samples (17 of 19), more than 75% of the total C occurs as organic compounds while carbonates represent less than 25%. This result is also supported by independent estimates of carbonate content from CO <SUB>2</SUB> yield after H <SUB>3</SUB>PO <SUB>4</SUB> attack. A comparison between the carbon concentration in our samples, seawater DIC (Dissolved Inorganic Carbon) and DOC (Dissolved Organic Carbon), and hydrothermal fluids suggests that CO <SUB>2</SUB> degassed from magmatic reservoirs is the main source of organic C addition to the crust during the alteration process. A reduction step of dissolved CO <SUB>2</SUB> is thus required, and can be either biologically mediated or not. Abiotic processes are necessary for the deeper part of the crust (&gt;1000 mbsf) because alteration temperatures are greater than any hyperthermophilic living organism (i.e. T &gt; 110 °C). Even if not required, we cannot rule out the contribution of microbial activity in the low-temperature alteration zones. We propose a two-step model for carbon cycling during crustal alteration: (1) when ""fresh"" oceanic crust forms at or close to ridge axis, alteration starts with hot hydrothermal fluids enriched in magmatic CO <SUB>2</SUB>, leading to the formation of organic compounds during Fischer-Tropsch-type reactions; (2) when the crust moves away from the ridge axis, these interactions with hot hydrothermal fluids decrease and are replaced by seawater interactions with carbonate precipitation in fractures. Taking into account this organic carbon, we estimate C isotope composition of mean altered oceanic crust at ∼ -4.7‰, similar to the δ <SUP>13</SUP>C of the C degassed from the mantle at ridge axis, and discuss the global carbon budget. The total flux of C stored in the altered oceanic crust, as carbonate and organic compound, is 2.9 ± 0.4 × 10 <SUP>12 </SUP>molC/yr.",95,noachian,FALSE,TRUE,ODP/IODP Hole 1256D (Altered Oceanic Crust),Noachian,Implicit,"The hydrothermal alteration of basaltic and gabbroic oceanic crust described in this study serves as an excellent analogue for Noachian Mars. During the Noachian, Mars experienced widespread aqueous alteration of its basaltic crust, driven by hydrothermal systems and magmatic degassing. The paper's identification of high-temperature (>110 °C) abiotic organic synthesis via Fischer-Tropsch-type reactions, alongside lower-temperature carbonate precipitation, directly mirrors the geochemical pathways proposed for early Martian crustal environments where neutral-to-alkaline fluids interacted with basaltic rocks.",Not specified,High-temperature hydrothermal alteration (>110 °C) and low-temperature alteration zones,"Secondary hydrous minerals, carbonates, organic compounds, basalt, gabbro","Sustained aqueous activity (hydrothermal fluids and seawater interactions), bulk water content of 0.32 to 2.14 wt%",4,"We propose a two-step model for carbon cycling during crustal alteration: (1) when ""fresh"" oceanic crust forms at or close to ridge axis, alteration starts with hot hydrothermal fluids enriched in magmatic CO 2, leading to the formation of organic compounds during Fischer-Tropsch-type reactions; (2) when the crust moves away from the ridge axis, these interactions with hot hydrothermal fluids decrease and are replaced by seawater interactions with carbonate precipitation in fractures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008SedG..204...36G,['Evolution of Early Triassic outer platform paleoenvironments in the Nanpanjiang Basin (South China) and their significance for the biotic recovery'],"Galfetti, Thomas",2008,Sedimentary Geology,10.1016/j.sedgeo.2007.12.008,"Detailed microfacies and paleoenvironmental analyses were conducted through the Early Triassic interval of the outer platform ammonoid-rich series of the Nanpanjiang Basin (Luolou Formation, Guangxi Province, South China). Extensive investigations on outcrops and on thin sections reveal that the widely reported well-diversified latest Permian fauna, dominated by abundant corals, calcareous algae, calcareous sponges, crinoids, brachiopods, gastropods, ostracods and foraminifera, is abruptly replaced by decimated Early Triassic communities essentially composed of low-diversity bivalves, microgastropods, ostracods, and rare foraminifera. Along with this drastic change in faunal assemblages, the recolonization of devastated habitats by calcimicrobial frameworks is observed in the aftermath of the end-Permian mass extinction. Calcimicrobialites of Griesbachian age are followed by mixed, ammonoid- and conodont-rich carbonate-siliciclastic series consisting of dark, suboxic, laminated mudstones intercalated with organic-rich shales of Dienerian to late Smithian age. The carbonate-siliciclastic series are interrupted by a brief carbonate episode during the early-middle Smithian. Massive carbonate production resumes only from the early Spathian onward and persists throughout the Spathian. The initial deposition of both carbonate episodes is coeval with (i) re-establishment of well-oxygenated conditions, (ii) a marked (early Smithian) to extreme (early Spathian) ammonoid/conodont diversification, (iii) a significant increase in the skeletal grain diversity and abundance and, (iv) peak carbon isotope values. A short interval of black, organic-rich shales precedes the onset of these two distinct carbonate events, which are both marked by a positive carbonate carbon isotope excursion known from other Tethyan marine localities. The comparison between the Early Triassic stratigraphic evolution of Tethyan outer platform paleoenvironments and platform/basin margin settings of the Nanpanjiang Basin suggests a causal connection between large fluctuations of the global carbon cycle, climate shifts, sea-level changes, oxygen availability in the oceans and the biological rediversification in the wake of the end-Permian biotic crisis.",95,noachian,FALSE,TRUE,"Nanpanjiang Basin (Luolou Formation, South China)",Noachian,Implicit,"The presence of calcimicrobialites and carbonate-siliciclastic series in the Luolou Formation represents a depositional environment characterized by sustained water activity and neutral-to-alkaline conditions necessary for carbonate precipitation. This geochemical regime directly mirrors the Noachian epoch of Mars, where neutral-to-alkaline waters facilitated the deposition of carbonates and clay minerals. Furthermore, the calcimicrobial frameworks serve as an analogue for potential fossilized biogenic structures in ancient Martian lacustrine or marine-like basins.",Not specified,Not specified,"Carbonates, siliciclastics, organic-rich shales, laminated mudstones",Sustained aqueous activity (marine outer platform),2,"Calcimicrobialites of Griesbachian age are followed by mixed, ammonoid- and conodont-rich carbonate-siliciclastic series consisting of dark, suboxic, laminated mudstones intercalated with organic-rich shales of Dienerian to late Smithian age.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014GeoRL..41..499S,['Diverse coral communities in naturally acidified waters of a Western Pacific reef'],"Shamberger, Kathryn E. F.",2014,Geophysical Research Letters,10.1002/2013GL058489,"Anthropogenic carbon dioxide emissions are acidifying the oceans, reducing the concentration of carbonate ions ([CO<SUB>3</SUB><SUP>2-</SUP>]) that calcifying organisms need to build and cement coral reefs. To date, studies of a handful of naturally acidified reef systems reveal depauperate communities, sometimes with reduced coral cover and calcification rates, consistent with results of laboratory-based studies. Here we report the existence of highly diverse, coral-dominated reef communities under chronically low pH and aragonite saturation state (Ω<SUB>ar</SUB>). Biological and hydrographic processes change the chemistry of the seawater moving across the barrier reefs and into Palau's Rock Island bays, where levels of acidification approach those projected for the western tropical Pacific open ocean by 2100. Nevertheless, coral diversity, cover, and calcification rates are maintained across this natural acidification gradient. Identifying the combination of biological and environmental factors that enable these communities to persist could provide important insights into the future of coral reefs under anthropogenic acidification.",94,noachian,FALSE,TRUE,Palau's Rock Island bays,None,Implicit,"The paper describes a marine coral reef system experiencing natural ocean acidification. This environment does not match any Martian epoch. The Noachian epoch requires neutral-to-alkaline conditions with carbonate deposition, whereas this site has low aragonite saturation. The Hesperian epoch represents highly acidic (pH 1-4) sulfate-dominated systems, far more acidic than the slightly lowered pH of these marine waters (typically pH 7.7-7.9). Furthermore, the presence of complex multicellular calcifying organisms (corals) has no known parallel in Martian geological history.",Chronically low pH (exact values not specified in abstract),Not specified (tropical marine),"Aragonite, carbonate",Marine aqueous environment (high water activity),1,"Here we report the existence of highly diverse, coral-dominated reef communities under chronically low pH and aragonite saturation state (Ωar).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004GeCoA..68.2275S,['Composition and origin of hydrothermal petroleum and associated lipids in the sulfide deposits of the Rainbow field (Mid-Atlantic Ridge at 36°N)'],"Simoneit, Bernd R. T.",2004,Geochimica et Cosmochimica Acta,10.1016/j.gca.2003.11.025,"The lipid components in hydrothermal sulfide deposits from the Rainbow vent field (Mid-Atlantic Ridge at 36°N) were studied by gas chromatography/mass spectrometry. The Rainbow vent field is one of two known active hydrothermal systems related to abyssal circulation, where high-temperature fluids are formed during serpentinization of ultrabasic crustal rocks. The major amount of the extractable organic matter from the sulfides consists of normal and branched alkanes, UCM, PAHs, terpenoids, and fatty acids. The branched alkanes are comprised of unique gem-diethylalkane series, possibly from sulfide oxidizing bacteria, and biphytanes from archaea. The characteristic lipid and biomarker compounds found in the hydrothermal samples support a predominantly biological origin of the bitumens from the thermal transformation of the biomass of microorganisms (bacteria and archea) and minor macrofauna of this vent field. A search for molecular evidence for abiogenic thermocatalytic synthesis of organic compounds was negative. However, methane in the hydrothermal fluids and possibly a minor amount of the alkanes in the sulfides may be of an abiogenic origin in the Rainbow vent field.",94,noachian,FALSE,TRUE,Rainbow field (Mid-Atlantic Ridge at 36°N),Noachian,Implicit,"The Rainbow vent field represents a high-temperature hydrothermal system driven by the serpentinization of ultrabasic crustal rocks. This process of serpentinization is a prime analogue for Noachian Mars, where widespread aqueous alteration of ultramafic rocks occurred under neutral-to-alkaline conditions, potentially hosting a deep chemolithoautotrophic biosphere fueled by hydrogen and methane.",Not specified,High-temperature fluids (exact temperature not specified),"Sulfide deposits, ultrabasic crustal rocks, methane, alkanes, UCM, PAHs, terpenoids, fatty acids, biphytanes",Abyssal circulation (fully saturated aqueous system),4,"The Rainbow vent field is one of two known active hydrothermal systems related to abyssal circulation, where high-temperature fluids are formed during serpentinization of ultrabasic crustal rocks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PPP...310...52Z,['Radiocarbon dating of biological apatites: A review'],"Zazzo, A.",2011,Palaeogeography Palaeoclimatology Palaeoecology,10.1016/j.palaeo.2010.12.004,"Since the early trials in the 50 's, the reliability of <SUP>14</SUP>C dates obtained from bioapatites has always been questioned. However, methodological attempts at dating biological apatites are rare. The compilation of the radiocarbon dates published in Radiocarbon over the period 1959-2009 shows that less than 6% of all the bone dates were performed on purified bioapatite. Crucial for the validation of the approach, is the design of tests for the preservation of the geochemical signal in biological apatites that are relevant for <SUP>14</SUP>C dating. Because carbonate in apatite can exchange isotopically with dissolved carbon present in the environmental fluids, pretreatments are necessary but not sufficient and preservation criteria based on mineral integrity are of limited help. In this case, only an indirect approach, based on the dating of different bone/tooth fractions of the same individual and/or associated material is able to distinguish between preserved and altered fossils. In case of alteration, it is unlikely that the rate of isotopic exchange/recrystallization will be identical in skeletal tissues with different physico-chemical properties and any intra-individual difference measured in <SUP>14</SUP>C age must result from differential diagenesis. We applied this strategy to more than 100 Holocene and Late Pleistocene localities worldwide. This approach confirms that carbonate in calcined bone is very resistant to post-burial isotopic exchange and is the most reliable source of inorganic carbon for <SUP>14</SUP>C dating regardless of the environmental conditions. Large intra-individual differences in <SUP>14</SUP>C age are found in several European and American localities, showing that both bone and enamel apatite can suffer from rejuvenation due to isotopic exchange during fossilization. On the contrary, the absence of significant intra-individual differences in <SUP>14</SUP>C age in most of the localities from arid environments (Africa, Arabic Peninsula) attests to the good preservation of bone apatite in these regions. This contrasting situation confirms that bone diagenesis must be treated on a site-by-site basis, and demonstrates that bioapatite is a reliable material to date skeletal remains in arid environments.",93,noachian,FALSE,TRUE,Arid environments of Africa and the Arabic Peninsula,Amazonian,Implicit,"The abstract highlights that bone apatite is well-preserved against diagenesis and isotopic exchange specifically in arid environments (such as Africa and the Arabic Peninsula). This preservation of chemical and isotopic signatures under hyper-arid, water-limited conditions directly mirrors the preservation state of the Martian surface during the Amazonian epoch, where extreme aridity and low water activity prevented the aqueous alteration of surface minerals and potential biosignatures.",Not specified,Not specified,"apatite, bioapatite, carbonate in apatite",Arid environments,2,"On the contrary, the absence of significant intra-individual differences in 14C age in most of the localities from arid environments (Africa, Arabic Peninsula) attests to the good preservation of bone apatite in these regions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
