bibcode,abstract,author,doi,pub,pubdate,title,year,citation_count,epoch_search,first_author
2015GeCoA.151..150L,"The composition of microbial communities and their relationship to ocean redox structure in the Precambrian are topics of continuing interest in geobiology. Our knowledge of organismic diversity and environmental conditions during this time are mostly based on fragmentary paleontological and geochemical records and might be skewed accordingly. In North China the Xiamaling Formation (∼1.37 Ga) is characterized by black shales of relatively low thermal maturity (T<SUB>max</SUB> is ∼445 °C) and has been identified as a potential petroleum source rock. To date, however, the biological sources of the organic matter and the environmental conditions prevalent during the deposition of these sediments remain unclear. In this study we analyzed the hydrocarbon biomarker compositions of the Xiamaling Formation shales and a superjacent stromatolitic carbonate in order to shed light on the microbial diversity in the sedimentary environments they represent. The hydrocarbons extracted from both sediments are dominated by low-molecular-weight n-alkanes with a maximum at C<SUB>15-18</SUB>, suggesting that bacteria and/or algae were primary biotic precursors. Our inability to detect steranes in bitumen I, and only traces of rearranged steranes in bitumen II of black shales, indicates that modern eukaryotic algae were either ecologically insignificant or not preserved due to a taphonomic bias. The high relative concentration of hopanes and diahopanes ranging from C<SUB>27</SUB> to C<SUB>35</SUB>, as well as monomethylalkanes, suggests that cyanobacteria may have been the dominant primary producers and could have contributed to the biologically available nitrogen pool through N<SUB>2</SUB>-fixation. This observation is supported by the low nitrogen isotopic composition of the kerogens. Even though all facies zones appear to have been anoxic but not sulfidic on the basis of biomarker ratios and trace metals, subtle but distinct molecular differences are observed between the stromatolite and the black shales, which can be attributed to both, lithologically-controlled diagenetic rearrangements and differential biotic input. The discrepancy between the presence of a large UCM and high abundances of alkyl lipids on one hand, yet the absence of a stable carbon isotopic offset between lipids and kerogen, on the other, suggests that strong heterotrophic reworking might not be the sole source of the biodegraded fingerprint that is so typical for Proterozoic bitumens, and demands alternative explanations.","['Luo, Genming', 'Hallmann, Christian', 'Xie, Shucheng', 'Ruan, Xiaoyan', 'Summons, Roger E.']",10.1016/j.gca.2014.12.022,Geochimica et Cosmochimica Acta,2015-02-00,['Comparative microbial diversity and redox environments of black shale and stromatolite facies in the Mesoproterozoic Xiamaling Formation'],2015,91,noachian,"Luo, Genming"
1989MarBi.101..235M,"Sediment and water samples were collected by submersible in September 1986 at 16 locations on the carbonate cap overlying a conical diapir, which was formed by the upward migration of oil and gas through a subsurface fault on the continental slope off Louisiana, USA (27°47'N; 91°30.4'W). The biological community at the site was photographed quantitatively with still and video cameras. Rigorous spatial sampling indices were maintained so that variation in chemical parameters and in the abundance of photographed organisms could be estimated within the bounds of the study site. Concentrations of extractable organic material (EOM) ranged from 0.24 to 119.26‰ in the sediment samples, while methane concentrations in the water samples were from 0.037 to 66.474 μM. The visible biological community was predominantly composed of the chemosynthetic tube worms (Vestimentifera) Lamellibrachia sp. and Escarpia sp., and an undescribed, methane-oxidizing mussel (Mytilidae: Bathymodiolus-like), as well as diverse non-chemosynthetic organisms. The ranked abundance of tube worms was significantly correlated (p&lt;0.05) with the concentration of EOM in the sediment samples, while the abundance of mussels was significantly correlated (p&lt;0.05) with the concentration of methane in the water samples. Tube worms and mussels both occurred in dense clusters; however, the clusters of mussels had a more restricted distribution within the study site than did clusters of tube worms. Both organisms were most abundant in the vicinity of the subsurface fault.","['MacDonald, I. R.', 'Boland, G. S.', 'Baker, J. S.', 'Brooks, J. M.', 'Kennicutt, M. C.', 'Bidigare, R. R.']",10.1007/BF00391463,Marine Biology,1989-04-00,['Gulf of Mexico hydrocarbon seep communities: II. Spatial distribution of seep organisms and hydrocarbons at Bush Hill'],1989,91,noachian,"MacDonald, I. R."
2002GeCoA..66.3839P,"The upper Danube River and 19 of its major tributaries were monitored for 1046 km downriver and seasonally for Ca, Mg, Sr, Na, K, HCO<SUB>3</SUB>, CO<SUB>2</SUB>, Cl, PO<SUB>4</SUB>, SiO<SUB>2</SUB>, NO<SUB>3</SUB>, NO<SUB>2</SUB>, NH<SUB>4</SUB>, SO<SUB>4</SUB>, δ<SUP>13</SUP>C<SUB>DIC</SUB>, δ<SUP>18</SUP>O<SUB>H<SUB>2</SUB>O</SUB>, δD<SUB>H<SUB>2</SUB>O</SUB>, δ<SUP>34</SUP>S<SUB>SO<SUB>4</SUB></SUB>, δ<SUP>18</SUP>O<SUB>SO<SUB>4</SUB></SUB>, and <SUP>87</SUP>Sr/<SUP>86</SUP>Sr. Hydrological considerations and δ<SUP>18</SUP>O/δD data show that the water balance in the river, particularly after its confluence with the Inn, is controlled by the southern tributaries draining the Mesozoic carbonate complexes of the Alps. As a result, chemical balance at Bratislava is mostly a conservative product of its tributaries. The concentrations of Ca, Mg, and Sr in the Danube are 6 to 9 times higher than in “pristine” rivers. Although all these cations are derived from dissolution of Mesozoic carbonates, the ultimate cause is likely the enhanced generation of soil CO<SUB>2</SUB> due to agricultural and forestry practices. Dissolution of Triassic sulfates is an additional factor for Ca enrichment in the headwater section of the river. Dissolved sulfate, with a comparable enrichment factor to that of alkaline earths, appears to be derived mostly from atmospheric deposition, a proposition based on consideration of its sulfur and oxygen isotopic compositions. Na, K, and Cl are enriched by a factor of 2.5 to 4 times, mostly as a result of industrial and municipal pollution sources. <P />In contrast to the above components, which behave mostly conservatively during the downriver flow of the Danube, biogenic elements such as nutrients and Si are influenced by in-river processes. The photosynthesis/respiration balance that impacts the carbon cycle and the oxygen balance has been discussed elsewhere (Pawellek and Veizer, 1994). NO<SUB>3</SUB>, NO<SUB>2</SUB>, and NH<SUB>4</SUB> are enriched by a factor of 10 to 16 times from point and diffuse sources along the watercourses, generating at times downflow nitrification plumes from NH<SUB>4</SUB> to NO<SUB>3</SUB>. PO<SUB>4</SUB> varies seasonally, chiefly as a result of biologic demand during the warm periods. For SiO<SUB>2</SUB>, the biological uptake (mostly for secretion of diatom frustules), combined with the deficiency of this compound that results from the predominantly carbonate lithology of the catchment, results in concentrations that are below those of pristine rivers. Overall, the present-day “salted” characteristics of the river are chiefly a consequence of the long habitation history of the upper Danube watershed.","['Pawellek, Frank', 'Frauenstein, Frank', 'Veizer, Ján']",10.1016/S0016-7037(01)00880-8,Geochimica et Cosmochimica Acta,2002-11-00,['Hydrochemistry and isotope geochemistry of the upper Danube River'],2002,91,noachian,"Pawellek, Frank"
2015ESRv..151..176C,"Early marine seafloor lithification of carbonate sediments leads to the formation of hardgrounds and is known from rocks as old as the Proterozoic. Hardground surfaces, however, are more commonly recorded in the Phanerozoic sedimentological archive. While ecological studies of hardground biota abound, the environmental and physico-chemical parameters leading to the development of seafloor lithification remain, in many cases, poorly understood and documented. This paper reviews published evidence on the petrography, mineralogy and geochemistry of Phanerozoic carbonate hardgrounds within a process-oriented context of their environmental controls. Hardgrounds typically develop in warm and shallow, agitated tropical waters that are saturated with respect to CaCO<SUB>3</SUB>, but are also reported from hemi-pelagic to bathyal realms and from cool-water, temperate settings. A range of early marine cement types are documented from present-day hardgrounds whereas (preserved) cement fabrics and related mineralogies are less diverse in early Phanerozoic hardgrounds. Carbonate hardgrounds are widespread during calcite sea periods (e.g., Ordovician and Cretaceous), as opposed to some (preservation bias?) ancient aragonite seas (e.g., Permian and Triassic). Obviously, the relation between seawater chemistry and hardground abundance and attributes is not an easy one. Here, the concept of aragonite versus calcite seas serves as a first-order template for the sake of a structured discussion whereas modern aragonite mode oceans document a significant diversity in spatial and bathymetric seawater properties. This spatio-temporal complexity is perhaps reflected in the scarce record of calcite sea hardgrounds from the Devonian or Paleogene rock record contrasted by the abundance in aragonite Holocene and Recent seas. Holocene hardgrounds allow for the direct assessment of rates of, and reasons for, early subaquatic lithification and-in most cases-escaped subsequent non-marine diagenetic overprint. Conversely, studies of ancient hardgrounds are often biased by early biological and mechanical erosion, the degree of diagenetic overprint, and tectonic to orogenic processes. The formation, distribution and physical properties of hardgrounds depend on the global climatic context (greenhouse/icehouse modes), on sea-level changes, on ocean stratification, on the spatial extent of epicontinental seas and carbonate depositional environments, and on the spatially different mineralogies and rates of carbonate production. The fabrics and mineralogies of early hardgrounds cement seem to substantially hinge on variations in atmospheric CO<SUB>2</SUB>. Thus, the application of lessons from modern to ancient hardground case examples is not straightforward. A holistic model explaining the full variability of controls on submarine hardground formation and their cement petrography throughout the Phanerozoic is as yet lacking. A more critical view on secular changes in hardground formation patterns is clearly needed. Future work should rely on the combination of sedimentological, stratigraphic, palaeoecological, petrographic, and geochemical approaches. Specific emphasis should be given to time intervals (Triassic, Carboniferous, Cambrian etc.) where the bulk of reported case studies is at best scarce.","['Christ, Nicolas', 'Immenhauser, Adrian', 'Wood, Rachel A.', 'Darwich, Khadija', 'Niedermayr, Andrea']",10.1016/j.earscirev.2015.10.002,Earth Science Reviews,2015-12-00,['Petrography and environmental controls on the formation of Phanerozoic marine carbonate hardgrounds'],2015,91,noachian,"Christ, Nicolas"
2011JGRG..116.2010C,"We examined the dynamics of the carbonate system in a complex mixing scheme with enhanced biological consumption modulated by both a river plume and summer coastal upwelling in a large shelf system, the northern South China Sea (NSCS) shelf. The plume waters originated from a large flooding upstream the Pearl River, and extended from the mouth of the Pearl River estuary to the middle shelf and were characterized by low dissolved inorganic carbon (DIC) and total alkalinity (TAlk), and a high aragonite saturation state (Ω<SUB>arag</SUB>). In contrast, the upwelled water occupying the nearshore area was distinguished by high DIC and TAlk and a low Ω<SUB>arag</SUB>. While the dynamics of the carbonate system were largely shaped by physical mixing through plume and upwelling processes between the plume water, the offshore subsurface water and the offshore surface water, biological consumption of DIC was observable in both the river plume and the coastal upwelling areas and contributed to the elevated Ω<SUB>arag</SUB> during their pathway. Correlations between salinity normalized TAlk and DIC indicated that organic carbon production rather than biocalcification exclusively induced the DIC removal. By using a three end-member mixing model, we estimated the net community productivity in the plume water and the upwelled water to be 36 ± 19 mmol C m<SUP>-2</SUP> d<SUP>-1</SUP> and 23 ± 26 mmol C m<SUP>-2</SUP> d<SUP>-1</SUP>, respectively. With the combination of stoichiometric relationship analysis of the carbonate system and applying the three end-member mixing model, we successfully differentiated semiquantitatively the biologically mediated DIC variations from its overall mixing control. We also attempted to link this natural process to the carbonate saturation on the NSCS shelf, contending that at present natural factors associated with the river plume and the coastal upwelling largely modulate the dynamics of the carbonate system on the NSCS shelf, whereas anthropogenic stressors such as ocean acidification currently play a relatively minor role.","['Cao, Zhimian', 'Dai, Minhan', 'Zheng, Nan', 'Wang, Deli', 'Li, Qian', 'Zhai, Weidong', 'Meng, Feifei', 'Gan, Jianping']",10.1029/2010JG001596,Journal of Geophysical Research (Biogeosciences),2011-06-00,['Dynamics of the carbonate system in a large continental shelf system under the influence of both a river plume and coastal upwelling'],2011,91,noachian,"Cao, Zhimian"
2003DSRI...50..281V,"Observations from the first submersible reconnaissance of the Blake Ridge Diapir provide the geological and ecological contexts for chemosynthetic communities established in close association with methane seeps. The seeps mark the loci of focused venting of methane from the gas hydrate reservoir, and, in one location (Hole 996D of the Ocean Drilling Program), methane emitted at the seafloor was observed forming gas hydrate on the underside of a carbonate overhang. Megafaunal elements of a chemosynthetically based community mapped onto dive tracks provide a preliminary overview of faunal distributions and habitat heterogeneity. Dense mussel beds were prominent and covered 20×20 m areas. The nearly non-overlapping distributions of mussels and clams indicate that there may be local (meter-scale) variations in fluid flux and chemistry within the seep site. Preliminary evidence suggests that the mussels are host to two symbiont types (sulfide-oxidizing thiotrophs and methanotrophs), while the clams derive their nutrition only from thiotrophic bacteria. Invertebrate biomass is dominated by mussels ( Bathymodiolus heckerae) that reach lengths of up to 364 mm and, to a lesser extent, by small (22 mm length) vesicomyid clams ( Vesicomya cf. venusta). Taking into account biomass distributions among taxa, symbiont characteristics of the bivalves, and stable-isotope analyses, the relative importance of methanotrophic vs thiotrophic bacteria in the overall nutrition of the invertebrate assemblage is on the order of 60% vs 40% (3:2).","['Van Dover, C. L.', 'Aharon, P.', 'Bernhard, J. M.', 'Caylor, E.', 'Doerries, M.', 'Flickinger, W.', 'Gilhooly, W.', 'Goffredi, S. K.', 'Knick, K. E.', 'Macko, S. A.', 'Rapoport, S.', 'Raulfs, E. C.', 'Ruppel, C.', 'Salerno, J. L.', 'Seitz, R. D.', 'Sen Gupta, B. K.', 'Shank, T.', 'Turnipseed, M.', 'Vrijenhoek, R.']",10.1016/S0967-0637(02)00162-0,Deep Sea Research Part I: Oceanographic Research,2003-02-00,"['Blake Ridge methane seeps: characterization of a soft-sediment, chemosynthetically based ecosystem']",2003,91,noachian,"Van Dover, C. L."
2016JGRE..121.1927E,"What allows a planet to be both within a potentially habitable zone and sustain habitability over long geologic time? With the advent of exoplanetary astronomy and the ongoing discovery of terrestrial-type planets around other stars, our own solar system becomes a key testing ground for ideas about what factors control planetary evolution. Mars provides the solar system's longest record of the interplay of the physical and chemical processes relevant to habitability on an accessible rocky planet with an atmosphere and hydrosphere. Here we review current understanding and update the timeline of key processes in early Mars history. We then draw on knowledge of exoplanets and the other solar system terrestrial planets to identify six broad questions of high importance to the development and sustaining of habitability (unprioritized): (1) Is small planetary size fatal? (2) How do magnetic fields influence atmospheric evolution? (3) To what extent does starting composition dictate subsequent evolution, including redox processes and the availability of water and organics? (4) Does early impact bombardment have a net deleterious or beneficial influence? (5) How do planetary climates respond to stellar evolution, e.g., sustaining early liquid water in spite of a faint young Sun? (6) How important are the timescales of climate forcing and their dynamical drivers? Finally, we suggest crucial types of Mars measurements (unprioritized) to address these questions: (1) in situ petrology at multiple units/sites; (2) continued quantification of volatile reservoirs and new isotopic measurements of H, C, N, O, S, Cl, and noble gases in rocks that sample multiple stratigraphic sections; (3) radiometric age dating of units in stratigraphic sections and from key volcanic and impact units; (4) higher-resolution measurements of heat flux, subsurface structure, and magnetic field anomalies coupled with absolute age dating. Understanding the evolution of early Mars will feed forward to understanding the factors driving the divergent evolutionary paths of the Earth, Venus, and thousands of small rocky extrasolar planets yet to be discovered.","['Ehlmann, B. L.', 'Anderson, F. S.', 'Andrews-Hanna, J.', 'Catling, D. C.', 'Christensen, P. R.', 'Cohen, B. A.', 'Dressing, C. D.', 'Edwards, C. S.', 'Elkins-Tanton, L. T.', 'Farley, K. A.', 'Fassett, C. I.', 'Fischer, W. W.', 'Fraeman, A. A.', 'Golombek, M. P.', 'Hamilton, V. E.', 'Hayes, A. G.', 'Herd, C. D. K.', 'Horgan, B.', 'Hu, R.', 'Jakosky, B. M.', 'Johnson, J. R.', 'Kasting, J. F.', 'Kerber, L.', 'Kinch, K. M.', 'Kite, E. S.', 'Knutson, H. A.', 'Lunine, J. I.', 'Mahaffy, P. R.', 'Mangold, N.', 'McCubbin, F. M.', 'Mustard, J. F.', 'Niles, P. B.', 'Quantin-Nataf, C.', 'Rice, M. S.', 'Stack, K. M.', 'Stevenson, D. J.', 'Stewart, S. T.', 'Toplis, M. J.', 'Usui, T.', 'Weiss, B. P.', 'Werner, S. C.', 'Wordsworth, R. D.', 'Wray, J. J.', 'Yingst, R. A.', 'Yung, Y. L.', 'Zahnle, K. J.']",10.1002/2016JE005134,Journal of Geophysical Research (Planets),2016-10-00,"['The sustainability of habitability on terrestrial planets: Insights, questions, and needed measurements from Mars for understanding the evolution of Earth-like worlds']",2016,91,noachian,"Ehlmann, B. L."
2014GeCoA.128..249V,"The isotopic composition of Phanerozoic marine sediments provides important information about changes in seawater chemistry. In particular, the radiogenic strontium isotope (<SUP>87</SUP>Sr/<SUP>86</SUP>Sr) system is a powerful tool for constraining plate tectonic processes and their influence on atmospheric CO<SUB>2</SUB> concentrations. However, the <SUP>87</SUP>Sr/<SUP>86</SUP>Sr isotope ratio of seawater is not sensitive to temporal changes in the marine strontium (Sr) output flux, which is primarily controlled by the burial of calcium carbonate (CaCO<SUB>3</SUB>) at the ocean floor. The Sr budget of the Phanerozoic ocean, including the associated changes in the amount of CaCO<SUB>3</SUB> burial, is therefore only poorly constrained. Here, we present the first stable isotope record of Sr for Phanerozoic skeletal carbonates, and by inference for Phanerozoic seawater (δ<SUP>88/</SUP><SUP>86</SUP>Sr<SUB>sw</SUB>), which we find to be sensitive to imbalances in the Sr input and output fluxes. This δ<SUP>88/</SUP><SUP>86</SUP>Sr<SUB>sw</SUB> record varies from ∼0.25‰ to ∼0.60‰ (vs. SRM987) with a mean of ∼0.37‰. The fractionation factor between modern seawater and skeletal calcite ∆<SUP>88/</SUP><SUP>86</SUP>Sr<SUB>cc-sw</SUB>, based on the analysis of 13 modern brachiopods (mean δ<SUP>88/</SUP><SUP>86</SUP>Sr of 0.176 ± 0.016‰, 2 standard deviations (s.d.)), is -0.21‰ and was found to be independent of species, water temperature, and habitat location. Overall, the Phanerozoic δ<SUP>88/</SUP><SUP>86</SUP>Sr<SUB>sw</SUB> record is positively correlated with the Ca isotope record (δ<SUP>44/</SUP><SUP>40</SUP>Ca<SUB>sw</SUB>), but not with the radiogenic Sr isotope record ((<SUP>87</SUP>Sr/<SUP>86</SUP>Sr)<SUB>sw</SUB>). A new numerical modeling approach, which considers both δ<SUP>88/</SUP><SUP>86</SUP>Sr<SUB>sw</SUB> and (<SUP>87</SUP>Sr/<SUP>86</SUP>Sr)<SUB>sw</SUB>, yields improved estimates for Phanerozoic fluxes and concentrations for seawater Sr. The oceanic net carbonate flux of Sr (F(Sr)<SUB>carb</SUB>) varied between an output of -4.7 × 10<SUP>10</SUP> mol/Myr and an input of +2.3 × 10<SUP>10</SUP> mol/Myr with a mean of -1.6 × 10<SUP>10</SUP> mol/Myr. On time scales in excess of 100 Myrs the F(Sr)<SUB>carb</SUB> is proposed to have been controlled by the relative importance of calcium carbonate precipitates during the “aragonite” and “calcite” sea episodes. On time scales less than 20 Myrs the F(Sr)<SUB>carb</SUB> seems to be controlled by variable combinations of carbonate burial rate, shelf carbonate weathering and recrystallization, ocean acidification, and ocean anoxia. In particular, the Permian/Triassic transition is marked by a prominent positive δ<SUP>88/</SUP><SUP>86</SUP>Sr<SUB>sw</SUB>-peak that reflects a significantly enhanced burial flux of Sr and carbonate, likely driven by bacterial sulfate reduction (BSR) and the related alkalinity production in deeper anoxic waters. We also argue that the residence time of Sr in the Phanerozoic ocean ranged from ∼1 to ∼20 Myrs.","['Vollstaedt, Hauke', 'Eisenhauer, Anton', 'Wallmann, Klaus', 'Böhm, Florian', 'Fietzke, Jan', 'Liebetrau, Volker', 'Krabbenhöft, André', 'Farkaš, Juraj', 'Tomašových, Adam', 'Raddatz, Jacek', 'Veizer, Ján']",10.1016/j.gca.2013.10.006,Geochimica et Cosmochimica Acta,2014-03-00,['The Phanerozoic δ<SUP>88/</SUP><SUP>86</SUP>Sr record of seawater: New constraints on past changes in oceanic carbonate fluxes'],2014,90,noachian,"Vollstaedt, Hauke"
2013Sci...340..454K,"Calcite, aragonite, and vaterite are the three anhydrous polymorphs of calcium carbonate, in order of decreasing thermodynamic stability. Although vaterite is not commonly found in geological settings, it is an important precursor in several carbonate-forming systems and can be found in biological settings. Because of difficulties in obtaining large, pure, single crystals, the crystal structure of vaterite has been elusive for almost a century. Using aberration-corrected high-resolution transmission electron microscopy, we found that vaterite is actually composed of at least two different crystallographic structures that coexist within a pseudo-single crystal. The major structure exhibits hexagonal symmetry; the minor structure, existing as nanodomains within the major matrix, is still unknown.","['Kabalah-Amitai, Lee', 'Mayzel, Boaz', 'Kauffmann, Yaron', 'Fitch, Andrew N.', 'Bloch, Leonid', 'Gilbert, Pupa U. P. A.', 'Pokroy, Boaz']",10.1126/science.1232139,Science,2013-04-00,['Vaterite Crystals Contain Two Interspersed Crystal Structures'],2013,90,noachian,"Kabalah-Amitai, Lee"
2004PPP...203..153W,"Stable isotope analyses have been undertaken on Oxfordian-Early Kimmeridgian belemnite rostra derived from three palaeogeographic provinces of Europe: (1) the Boreal-Subboreal Province (Isle of Skye in Scotland); (2) the Submediterranean Province (central Poland and southern Germany); and (3) the Mediterranean Province (Pieniny Klippen Belt in the Western Carpathians). The samples have been screened for possible diagenetic alteration by using cathodoluminescence and trace element analyses and have been found to be largely well-preserved. Calculated palaeotemperatures (10-15°C) and analyses of belemnite habitats suggest that the Boreal-Subboreal belemnites were living in a relatively shallow sea (not deeper than 100-150 m) while the other belemnites possibly inhabited deeper neritic environments. Despite the influence of a vital effect, the δ <SUP>13</SUP>C values of belemnite rostra are interpreted to reflect primary variations in the oceanic carbon isotope signal. The fairly uniform Submediterranean δ <SUP>13</SUP>C values indicate a similar isotope composition of dissolved inorganic carbon (DIC) in the area of sedimentation of sponge megafacies in the deep Tethyan shelves. The slightly lowered δ <SUP>13</SUP>C values of some Mediterranean belemnites might occur due to upwelling providing <SUP>12</SUP>C enriched bottom waters onto the area of the Czorsztyn Ridge in the Oxfordian. The discernibly more positive (1-2.5‰) δ <SUP>13</SUP>C values of Boreal-Subboreal belemnites are related to a high biologic productivity and a high organic matter burial in the partly isolated Boreal Sea. The stated differentiation in carbonate δ <SUP>13</SUP>C values distinctly exceeds present-day differences in isotope composition of seawater DIC.","['Wierzbowski, Hubert']",10.1016/S0031-0182(03)00673-4,Palaeogeography Palaeoclimatology Palaeoecology,2004-00-00,['Carbon and oxygen isotope composition of Oxfordian-Early Kimmeridgian belemnite rostra: palaeoenvironmental implications for Late Jurassic seas'],2004,90,noachian,"Wierzbowski, Hubert"
2009ChGeo.262..138T,"The effect of bacterial extracellular polymers (EPS) on calcium carbonate morphology and polymorphism was investigated by means of free-drift mineralisation experiments, conducted using cells of the EPS-producing thermotolerant Bacillus licheniformis S-86. The cells either had the EPS layer intact (native cells) or had the EPS layer removed (EPS-free cells). Experiments were also undertaken in the absence of cells, but with the addition of the extracted EPS solution. It was found that the abiotic control and EPS-free cell experiments contained vaterite and calcite when sampled after 12 h and 48 h, whereas the native cell and EPS-solution experiments contained only calcite. These results suggest that the presence of EPS inhibits vaterite precipitation. It is proposed that dissolved organic carbon (DOC) released from the EPS complexes Ca <SUP>2+</SUP> ions in solution, reducing the calcium carbonate saturation and favouring calcite precipitation over vaterite. After 7 days, all experiments contained only calcite. However, distinct morphological differences between the calcite crystals precipitated in the four experiments were preserved after a period of 7 days, suggesting that crystal morphology may indicate the biological conditions under which calcite precipitated.","['Tourney, Janette', 'Ngwenya, Bryne T.']",10.1016/j.chemgeo.2009.01.006,Chemical Geology,2009-00-00,['Bacterial extracellular polymeric substances (EPS) mediate CaCO <SUB>3</SUB> morphology and polymorphism'],2009,90,noachian,"Tourney, Janette"
1980DSRA...27..615B,"Particulate matter divided into &lt; 1-, 1- to 53-, and &gt; 53- μm size fractions was obtained using the Large Volume in situ Filtration System (LVFS) modified to collect four samples per deployment. Samples collected to 1500 m at 0°45'N, 86°10'W were analyzed for major and minor element, organism (species assemblage and population densities), and large particle size distributions. Vertical fluxes of fecal matter, fecal pellets, Foraminifera, and diatoms were calculated from size distribution data and two settling models. Estimates of the vertical mass, organic carbon, carbonate, and opal fluxes were compared with mean particle collection rates by sediment traps deployed at 2500 m for 234 days commencing at the time of LVFS sampling. The productivity of the surface layer at this station is controlled by the north-south position of the Equatorial Front, which separates low productivity Tropical Surface Water (TSW) from a mixture of warm Subtropical Surface Water (SSW) and cool, nutrient-rich water upwelled along the Peruvian coast. At the time of LVFS sampling the front was south of the station, with the lower productivity TSW dominating the surface water. Particle distributions and fluxes indicated lower than average productivity and highly efficient zooplankton grazing. Variability in productivity at the station was indicated by weekly sea surface temperature data and was manifested by an anomalous centrate diatom maximum centered at 400 m and by the indication that the particle flux through 1500 m was 1/40th of the rates particles were collected by the sediment traps at 2500 m. The depth of the nitrite maximum corresponded to that of strongest rate of decrease of the organic carbon flux. Fluxes of particulate opal and carbonate decreased markedly in the upper water column although it was supersaturated with respect to calcite. The occurrence of fecal pellets devoid of birefringent material in the water column indicates that the carbonate dissolution was biologically mediated. Calculations indicate that the strong carbonate dissolution in the upper waters at this station is not representative of ""average"" ocean conditions and is probably a local or rare phenomenon.","['Bishop, James K. B.', 'Collier, Robert W.', 'Kettens, Darlene R.', 'Edmond, John M.']",10.1016/0198-0149(80)90077-1,Deep Sea Research A,1980-08-00,"['The chemistry, biology, and vertical flux of particulate matter from the upper 1500 m of the Panama Basin']",1980,90,noachian,"Bishop, James K. B."
2012Mine....2..338K,"Microbial carbonate mineralization is widespread in nature and among microorganisms, and of vast ecological and geological importance. However, our understanding of the mechanisms that trigger and control processes such as calcification, i.e., mineralization of CO<SUB>2</SUB> to calcium carbonate (CaCO<SUB>3</SUB>), is limited and literature on cyanobacterial calcification is oftentimes bewildering and occasionally controversial. In cyanobacteria, calcification may be intimately associated with the carbon dioxide-(CO<SUB>2</SUB>) concentrating mechanism (CCM), a biochemical system that allows the cells to raise the concentration of CO<SUB>2</SUB> at the site of the carboxylating enzyme ribulose 1,5-bisphosphate carboxylase/oxygenase (Rubisco) up to 1000-fold over that in the surrounding medium. A comprehensive understanding of biologically induced carbonate mineralization is important for our ability to assess its role in past, present, and future carbon cycling, interpret paleontological data, and for evaluating the process as a means for biological carbon capture and storage (CCS). In this review we summarize and discuss the metabolic, physiological and structural features of cyanobacteria that may be involved in the reactions leading to mineral formation and precipitation, present a conceptual model of cyanobacterial calcification, and, finally, suggest practical applications for cyanobacterial carbonate mineralization.","['Kamennaya, Nina A.', 'Ajo-Franklin, Caroline M.', 'Northen, Trent', 'Jansson, Christer']",10.3390/min2040338,Minerals,2012-10-00,['Cyanobacteria as Biocatalysts for Carbonate Mineralization'],2012,90,noachian,"Kamennaya, Nina A."
1990PPP....78..135O,"Data on 493 Phanerozoic marine ooid and cement occurrences indicate that the dominance of calcite versus aragonite in tropical marine settings has changed in response to variation in atmospheric CO<SUB>2</SUB> and/or oceanic temperature gradient. Holocene ooid and cement precipitation occurs over similar latitudes, with means centered around 24° and 28°, respectively. Aragonite and calcite also display roughly comparable distributions, with average occurrences between 25° and 28°. Surface seawater saturation values requisite for ooid-cement carbonate precipitation are at least 3.8 (Ω<SUB>arg</SUB>) for aragonite and 3.4 (Ω<SUB>arg</SUB>) for calcite. <P />Ancient ooid-cement occurrences vary in space and time, with depositional zones generally closer to the equator during continental emergence; greatest extent correlates with periods of maximum transgression. Aragonite formation is favored in more equatorial localities than calcite when cement-ooid distributions are narrow and continents are emergent. Similarity of latitude distribution of marine ooids, cement, and biogenic carbonate suggests that physicochemical processes that control levels of carbonate saturation were more important in predicating sites of limestone accumulation in Phanerozoic seas than biological processes related to net productivity of various carbonate platform communities. Continental position and tropical shelf area available for carbonate accumulation dictates the relative abundance of shallow water inorganic carbonate precipitates in space and time.","['Opdyke, Bradley N.', 'Wilkinson, Bruce H.']",10.1016/0031-0182(90)90208-O,Palaeogeography Palaeoclimatology Palaeoecology,1990-05-00,['Paleolatitude distribution of Phanerozoic marine ooids and cements'],1990,90,noachian,"Opdyke, Bradley N."
