bibcode,abstract,author,doi,pub,title,year,citation_count,source
1999TrMic...7..447A,,"['Abe, Fumiyoshi', 'Kato, Chiaki', 'Horikoshi, Koki']",['10.1016/S0966-842X(99)01608-X'],Trends in Microbiology,['Pressure-regulated metabolism in microorganisms'],1999,32,ref_of_2014IJAsB..13...81P
2010IAUS..269..101P,"Galileo spacecraft data suggest that a global ocean exists beneath the frozen ice surface Jupiter's moon Europa. Since the early 1970s, planetary scientists have used theoretical and observational arguments to deliberate the existence of an ocean within Europa and other large icy satellites. Galileo magnetometry data indicates an induced magnetic field at Europa, implying a salt water ocean. A paucity of large craters argues for a surface on average only ~40-90 Myr old. Two multi-ring structures suggest that impacts punched through an ice shell ~20 km thick. Europa's ocean and surface are inherently linked through tidal deformation of the floating ice shell, and tidal flexing and nonsynchronous rotation generate stresses that fracture and deform the surface to create ridges and bands. Dark spots, domes, and chaos terrain are probably related to tidally driven ice convection along with partial melting within the ice shell. Europa's geological activity and probable mantle contact permit the chemical ingredients necessary for life to be present within the satellite's ocean. Astonishing geology and high astrobiological potential make Europa a top priority for future spacecraft exploration, with a primary goal of assessing its habitability.","['Pappalardo, Robert T.']",['10.1017/S1743921310007325'],Galileo's Medicean Moons: Their Impact on 400 Years of Discovery,"[""Seeking Europa's Ocean""]",2010,15,ref_of_2014IJAsB..13...81P
2004AsBio...4....1C,"In recent years, Bacteria and Archaea have been discovered living in practically every conceivable terrestrial environment, including some previously thought to be too extreme for survival. Exploration of our solar system has revealed a number of extraterrestrial bodies that harbor environments analogous to many of the terrestrial environments in which extremophiles flourish. The recent discovery of more than 105 extrasolar planets suggests that planetary systems are quite common. These three findings have led some to speculate that life is therefore common in the universe, as life as we know it can seemingly survive almost anywhere there is liquid water. It is suggested here that while environments capable of supporting life may be common, this does not in itself support the notion that life is common in the universe. Given that interplanetary transfer of life may be unlikely, the actual origin of life may require specific environmental and geological conditions that may be much less common than the mere existence of liquid water.","['Cleaves, H. James', 'Chalmers, John H.']",['10.1089/153110704773600195'],Astrobiology,['Extremophiles May Be Irrelevant to the Origin of Life'],2004,23,ref_of_2014IJAsB..13...81P
2008E&PSL.272..251M,"In this study we assessed changes in the contribution of terrigenous organic matter (OM) to the Gulf of Mexico over the course of the last deglaciation (the last 25 kyr). To this end, we combined optical kerogen analyses with bulk sedimentary, biomarker, and compound-specific carbon isotope analyses. Samples were obtained from core MD02-2550 from Orca Basin (2249 m water depth at 26°56.77N, 91°20.74W) with temporal resolution ranging from multi-decadal to millennial-scale, depending on the proxy. All proxies confirmed larger terrigenous input during glacial times compared to the Holocene. In addition, the kerogen analyses suggest that much of the glacial OM is reworked (at least 50% of spores and pollen grains and 40% of dinoflagellate cysts). The Holocene sediments, in contrast, contain mainly marine OM, which is exceptionally well preserved. During the deglaciation, terrigenous input was generally high due to large meltwater fluxes, whereby discrepancies between different proxies call for additional influences, such as the change in distance to the river mouth, local productivity changes, and hydrodynamic particle sorting. It is possible that kerogen particles and the terrigenous biomarkers studied here represent distinct pools of land-derived OM with inputs varying independently.","['Meckler, A. N.', 'Schubert, C. J.', 'Hochuli, P. A.', 'Plessen, B.', 'Birgel, D.', 'Flower, B. P.', 'Hinrichs, K.-U.', 'Haug, G. H.']",['10.1016/j.epsl.2008.04.046'],Earth and Planetary Science Letters,"['Glacial to Holocene terrigenous organic matter input to sediments from Orca Basin, Gulf of Mexico — A combined optical and biomarker approach']",2008,22,ref_of_2014IJAsB..13...81P
1995AdSpR..15c.237S,,"['Soina, V. S.', 'Vorobiova, E. A.', 'Zvyagintsev, D. G.', 'Gilichinsky, D. A.']",['10.1016/S0273-1177(99)80090-8'],Advances in Space Research,['Preservation of cell structures in permafrost: A model for exobiology'],1995,24,ref_of_2014IJAsB..13...81P
2011A&G....52a..39N,"Lucy H Norman and A Dominic Fortes consider the possibilities for life on and in Saturn's complex icy moon, and the nature of organisms that might live there.","['Norman, Lucy H.']",['10.1111/j.1468-4004.2011.52139.x'],Astronomy and Geophysics,['Is there life on … Titan?'],2011,17,ref_of_2014IJAsB..13...81P
2012FEMME..81..684T,,"['Temkiv, Tina Šantl', 'Finster, Kai', 'Hansen, Bjarne Munk', 'Nielsen, Niels Woetmann', 'Karlson, Ulrich Gosewinkel']",['10.1111/j.1574-6941.2012.01402.x'],FEMS Microbiology Ecology,['The microbial diversity of a storm cloud as assessed by hailstones'],2012,22,ref_of_2014IJAsB..13...81P
2010RSEnv.114.1297G,"A unique glacial spring system exists at Borup Fiord pass, in the Canadian High Arctic, emerging from a glacial surface and depositing elemental sulfur, gypsum and calcite across a portion of the glacier. The presence of sulfur springs associated with glacial ice is extremely rare in a terrestrial context, and the resulting deposits may provide a field analog to non-ice materials on the surface of Europa. Spectral characterization of the supraglacial deposits in the visible-near infrared (VIS-NIR) range, 0.4-2.5 μm, was carried out using reflectance spectra collected in situ using a field spectrometer during the 2006 field season. These spectra, while dominated by melting snow, ice, and sulfur, show that some absorption features of the sulfates are shifted in wavelength with respect to library spectra due to the effects of mixing or temperature. Absorption features of calcite are largely absent, potentially due to mineral partitioning effects within the deposits. Investigations into changes in mineralogy within the deposits over the course of the active season using data collected by the Hyperion hyperspectral visible/infrared spectrometer aboard the Earth Observing 1 spacecraft (EO-1) were limited by low signal-to-noise (SNR) ratios in the data, although they indicate that sulfur is remaining stable. This is confirmed by seasonal data on the extent of the deposits, obtained using a classification algorithm running onboard the satellite, which continued to detect the presence of sulfur until snow obscured the site. Ground truth for the observations is provided by mineralogical analyses obtained by X-ray diffraction (XRD) measurements and laboratory reflectance spectra from 0.2-25 μm obtained of samples returned from the site in 2006. We show that while sulfur, the main constituent of the deposits, is well represented in Hyperion data, minor constituents such as calcite and gypsum can be partially or entirely masked in the data. In spite of these effects, autonomous detection methods can be utilized to monitor the generation and extent of the deposits, whose spectral properties show similarities with those of Europa's non-ice materials.","['Gleeson, Damhnait F.', 'Pappalardo, Robert T.', 'Grasby, Steven E.', 'Anderson, Mark S.', 'Beauchamp, Benoit', 'Castaño, Rebecca', 'Chien, Steve A.', 'Doggett, Thomas', 'Mandrake, Lukas', 'Wagstaff, Kiri L.']",['10.1016/j.rse.2010.01.011'],Remote Sensing of Environment,['Characterization of a sulfur-rich Arctic spring site and field analog to Europa using hyperspectral data'],2010,23,ref_of_2014IJAsB..13...81P
1996Natur.381..644E,,"['Ellis-Evans, J. Cynan', 'Wynn-Williams, David']",['10.1038/381644a0'],Nature,['A great lake under the ice'],1996,22,ref_of_2014IJAsB..13...81P
2003GmbJ...20..427P,"There has long been a debate as to whether desert varnish deposits are microbially mediated or are deposited by inorganic processes. Several researchers have cultured bacteria from the surface of desert varnish suggesting that bacteria are intimately associated with varnish coatings and may play a role in their formation. To test this hypothesis, we have collected scrapings of desert varnish from the Sonoran Desert in Arizona and the Mojave Desert in California and analyzed them for amino acids. Thirteen amino acids were found in desert varnish indicating a biogenic component of these varnishes. Two protein amino acids that were not detected in any of the varnishes are cysteine and tryptophan. Two nonprotein amino acids,β-alanine andγ-amino butyric acid, were found. These are known to be formed by enzymatic decarboxylation, thereby indicating possible organismal activity in varnish. Some D -enantiomers of the amino acids were also found. In addition to small amounts of the D -enantiomer of aspartic acid, which is rapidly formed by racemization and was present in most samples, D -alanine and D -glutamic acid were found. These latter two amino acids are components of the peptidoglycan cell wall material of bacteria. L -lysine was also detected, but not diaminopimelic acid. The combination of L -lysine, D -alanine, and D -glutamic acid is characteristic of the peptidoglycan from Gram-positive bacteria. Although the presence of these biomarkers does not prove that Gram-positive bacteria produce the coatings, finding them is consistent with the hypothesis that they may play a role in desert varnish formation.","['Perry, Randall S.', 'Engel, Michael H.', 'Botta, Oliver', 'Staley, James T.']",['10.1080/713851132'],Geomicrobiology Journal,['Amino Acid Analyses of Desert Varnish from the Sonoran and Mojave Deserts'],2003,24,ref_of_2014IJAsB..13...81P
2002BioRv..77..279C,"Impact craters contain ecosystems that are often very different from the ecosystems that surround them. On Earth over 150 impact craters have been identified in a wide diversity of biomes. All natural events that can cause localized disruption of ecosystems have quite distinct patterns of recovery. Impact events are unique in that they are the only extraterrestrial mechanism capable of disrupting an ecosystem locally in space and time. Thus, elucidating the chronological sequence of change at the sites of impacts is of ecological interest. In this synthetic review we use the existing literature, coupled with our own observations at the Haughton impact structure, Devon Island, Nunavut, Canada to consider the patterns of biological recovery at the site of impact craters and the ecological characteristics of impact craters. Three phases of recovery are suggested. The Phase of Thermal Biology, a phase associated with the localized, ephemeral thermal anomaly generated by an impact event. The Phase of Impact Succession and Climax, a phase marked by multiple primary and secondary succession events both in the aquatic realm (impact crater-lakes) and terrestrial realm (colonization of paleolacustrine deposits and impact-generated substrata) that are followed by periods of climax ecology. In the case of large-scale impact events (&gt;10 4 Mt), this latter phase may also be influenced by successional changes in the global environment. Finally, during the Phase of Ecological Assimilation, the disappearance of the surface geological expression of an impact structure results in a concomitant loss of ecological distinctiveness. In extreme cases, the impact structure is buried. Impact succession displays similarities and differences to succession following other agents of ecological disturbance, particularly volcanism.","['Cockell, Charles S.', 'Lee, Pascal']",['10.1017/S146479310100584X'],Biological Reviews,['The biology of impact craters — a review'],2002,23,ref_of_2014IJAsB..13...81P
2003AsBio...3..863P,"Tírez Lake (La Mancha, central Spain) is proposed as a terrestrial analogue of Europa's ocean. The proposal is based on the comparison of the hydrogeochemistry of Tírez Lake with the geochemical features of the alteration mineralogy of meteoritic precursors and with Galileo's Near Infrared Mapping Spectrometer data on Europa's surface. To validate the astrobiological potential of Tírez Lake as an analog of Europa, different hydrogeochemical, mineral, and microbial analyses were performed. Experimental and theoretical modeling helped to understand the crystallization pathways that may occur in Europa's crust. Calculations about the oxidation state of the hypothetical Europan ocean were estimated to support the sulfate-rich neutral liquid model as the origin of Europa's observed hydrated minerals and to facilitate their comparison with Tírez's hydrogeochemistry. Hydrogeochemical and mineralogical analyses showed that Tírez waters corresponded to Mg-Na-SO<SUB>4</SUB>-Cl brines with epsomite, hexahydrite, and halite as end members. A preliminary microbial ecology characterization identified two different microbial domains: a photosynthetically sustained community represented by planktonic/benthonic forms and microbial mat communities, and a subsurficial anaerobic realm in which chemolithotrophy predominates. Fluorescence in situ hybridization has been used to characterize the prokaryotic diversity of the system. The subsurficial community seemed to be dominated by sulfate-reducing bacteria and methanogens. Frozen Tírez brines were analyzed by Fourier-transform infrared techniques providing spectra similar to those reported previously using pure components and to the Galileo spectral data. Calorimetric measurements of Tírez brines showed pathways and phase metastability for magnesium sulfate and sodium chloride crystallization that may aid in understanding the processes involved in the formation of Europa's icy crust. The use of fluorescence hybridization techniques for microbial detection and characterization in hypersaline environments makes this methodology strongly advisable for future Europa astrobiological missions.","['Prieto-Ballesteros, Olga', 'Rodríguez, Nuria', 'Kargel, Jeffrey S.', 'Kessler, Carola González', 'Amils, Ricardo', 'Remolar, David Fernández']",['10.1089/153110703322736141'],Astrobiology,['Tírez Lake as a Terrestrial Analog of Europa'],2003,17,ref_of_2014IJAsB..13...81P
2005M&PS...40.1887O,"Detailed field mapping has revealed the presence of a series of intra-crater sedimentary deposits within the interior of the Haughton impact structure, Devon Island, Canadian High Arctic. Coarse-grained, well-sorted, pale gray lithic sandstones (reworked impact melt breccias) unconformably overlie pristine impact melt breccias and attest to an episode of erosion, during which time significant quantities of impact melt breccias were removed. The reworked impact melt breccias are, in turn, unconformably overlain by paleolacustrine sediments of the Miocene Haughton Formation. Sediments of the Haughton Formation were clearly derived from pre-impact lower Paleozoic target rocks of the Allen Bay Formation, which form the crater rim in the northern, western, and southern regions of the Haughton structure. Collectively, these field relationships indicate that the Haughton Formation was deposited up to several million years after the formation of the Haughton crater and that they do not, therefore, represent an immediate, post-impact crater lake deposit. This is consistent with new isotopic dating of impactites from Haughton that indicate an Eocene age for the impact event (Sherlock et al. 2005). In addition, isolated deposits of post-Miocene intra-crater glacigenic and fluvioglacial sediments were found lying unconformably over remnants of the Haughton Formation, impact melt breccias, and other pre-impact target rock formations. These deposits provide clear evidence for glaciation at the Haughton crater. The wealth and complexity of geological and climatological information preserved as intra-crater deposits at Haughton suggests that craters on Mars with intra-crater sedimentary records might present us with similar opportunities, but also possibly significant challenges.","['Osinski, Gordon R.', 'Lee, Pascal']",['10.1111/j.1945-5100.2005.tb00152.x'],Meteoritics and Planetary Science,"['Intra-crater sedimentary deposits at the Haughton impact structure, Devon Island, Canadian High Arctic']",2005,19,ref_of_2014IJAsB..13...81P
2011A&G....52a..25D,Lewis Dartnell discusses how extremophiles have pushed the survival envelope of terrestrial life - and what this means for the possibility of extraterrestrial life.,"['Dartnell, Lewis']",['10.1111/j.1468-4004.2011.52125.x'],Astronomy and Geophysics,['Biological constraints on habitability'],2011,14,ref_of_2014IJAsB..13...81P
2007Ocgpy..20d..90K,,"['Kelley, Deborah', 'Früh-Green, Gretchen', 'Karson, Jeffrey', 'Ludwig, Kristin']",['10.5670/oceanog.2007.09'],Oceanography,['The Lost City Hydrothermal Field Revisited'],2007,18,ref_of_2014IJAsB..13...81P
2013Icar..224..382B,"Surficial deposits of the OH-bearing iron sulfate mineral jarosite have been observed in several places on Mars, such as Meridiani Planum and Mawrth Vallis. The specific depositional conditions and mechanisms are not known, but by comparing martian sites to analogous locations on Earth, the conditions of formation and, thus, the martian depositional paleoenvironments may be postulated. Located in a cold semi-arid desert ∼100 km east of Norman Wells, Northwest Territories, Canada, the Golden Deposit (GD) is visible from the air as a brilliant golden-yellow patch of unvegetated soil, approximately 140 m × 50 m. The GD is underlain by permafrost and consists of yellow sediment, which is precipitating from seeps of acidic, iron-bearing groundwater. On the surface, the GD appears as a patchwork of raised polygons, with acidic waters flowing from seeps in troughs between polygonal islands. Although UV-Vis-NIR spectral analysis detects only jarosite, mineralogy, as determined by X-ray diffraction and inductively coupled plasma emission spectrometry, is predominantly natrojarosite and jarosite, with hydronium jarosite, goethite, quartz, clays, and small amounts of hematite. Water pH varies significantly over short distances depending on proximity to acid seeps, from 2.3 directly above seeps, to 5.7 several m downstream from seeps within the deposit, and up to 6.5 in ponds proximal to the deposit. Visual observations of microbial filament communities and phospholipid fatty acid analyses confirm that the GD is capable of supporting life for at least part of the year. Jarosite-bearing sediments extend beneath vegetation up to 70 m out from the deposit and are mixed with plant debris and minerals presumably weathered from bedrock and glacial till. This site is of particular interest because mineralogy (natrojarosite, jarosite, hematite, and goethite) and environmental conditions (permafrost and arid conditions) at the time of deposition are conceivably analogous to jarosite deposits on Mars. Most terrestrial analogues for Mars jarosites have been identified in temperate environments, where evaporation rates are very high and jarosites form along with other sulfates due to rapid evaporation (e.g. Rio Tinto, Spain; Western Australian acidic saline lake deposits). The GD is a rare example of an analogue site where jarosite precipitates under dominant freezing processes similar to those which could have prevailed on early Mars. Thus, the GD offers a new perspective on jarosite deposition by the upwelling of acidic waters through permafrost at Meridiani Planum and Mawrth Vallis, Mars. The GD also demonstrates that martian deposits may show considerably more chemical and mineral variability than indicated by the current remote sensing data sets.","['Battler, Melissa M.', 'Osinski, Gordon R.', 'Lim, Darlene S. S.', 'Davila, Alfonso F.', 'Michel, Frederick A.', 'Craig, Michael A.', 'Izawa, Matthew R. M.', 'Leoni, Lisa', 'Slater, Gregory F.', 'Fairén, Alberto G.', 'Preston, Louisa J.', 'Banerjee, Neil R.']",['10.1016/j.icarus.2012.05.015'],Icarus,"['Characterization of the acidic cold seep emplaced jarositic Golden Deposit, NWT, Canada, as an analogue for jarosite deposition on Mars']",2013,14,ref_of_2014IJAsB..13...81P
2011AdSpR..48..689L,"This paper reviews the utility of analog environments in preparations for a Europa lander mission. Such analogs are useful in the demonstration and rehearsal of engineering functions such as sample acquisition from an icy surface, as well as in the exercise of the scientific protocols needed to identify organic, inorganic and possible biological impurities in ice. Particular attention is drawn to Antarctic and Arctic analog sites where progress in these latter areas has been significant in recent years.","['Lorenz, Ralph D.', 'Gleeson, Damhnait', 'Prieto-Ballesteros, Olga', 'Gomez, Felipe', 'Hand, Kevin', 'Bulat, Sergey']",['10.1016/j.asr.2010.05.006'],Advances in Space Research,['Analog environments for a Europa lander mission'],2011,15,ref_of_2014IJAsB..13...81P
2001MycR..105..749K,,"['Kis-Papo, Tamar', 'Grishkan, Isabella', 'Oren, Aharon', 'Wasser, Solomon P.', 'Nevo, Eviatar']",['10.1017/S0953756201004129'],Mycological Research,['Spatiotemporal diversity of filamentous fungi in the hypersaline Dead Sea'],2001,19,ref_of_2014IJAsB..13...81P
2013BGeo...10.3175S,"Orca Basin, an intraslope basin on the Texas-Louisiana continental slope, hosts a hypersaline, anoxic brine in its lowermost 200 m in which limited microbial activity has been reported. This brine contains a large reservoir of reduced and aged carbon, and appears to be stable at decadal time scales: concentrations and isotopic composition of dissolved inorganic (DIC) and organic carbon (DOC) are similar to measurements made in the 1970s. Both DIC and DOC are more ""aged"" within the brine pool than in overlying water, and the isotopic contrast between brine carbon and seawater carbon is much greater for DIC than DOC. While the stable carbon isotopic composition of brine DIC points towards a combination of methane and organic carbon remineralization as its source, radiocarbon and box model results point to the brine interface as the major source region for DIC, allowing for only limited oxidation of methane diffusing upwards from sediments. This conclusion is consistent with previous studies that identify the seawater-brine interface as the focus of microbial activity associated with Orca Basin brine. Isotopic similarities between DIC and DOC suggest a different relationship between these two carbon reservoirs than is typically observed in deep ocean basins. Radiocarbon values implicate the seawater-brine interface region as the likely source region for DOC to the brine as well as DIC.","['Shah, S. R.', 'Joye, S. B.', 'Brandes, J. A.', 'McNichol, A. P.']","['10.5194/bg-10-3175-2013', '10.5194/bgd-9-17913-2012']",Biogeosciences,['Carbon isotopic evidence for microbial control of carbon supply to Orca Basin at the seawater-brine interface'],2013,7,ref_of_2014IJAsB..13...81P
2011GeCoA..75.1975V,"The distribution of living organisms, organic matter, and chemical properties in Mars-like environments on Earth can be used as a model to guide the investigation of possible habitable environments on Mars. This work aims to demonstrate that the place known informally as the ""Mar de Cuarzo"" (Sea of Quartz) in the Pampas de La Joya desert southern Peru (between 16°S and 17°S latitude), contains soils with characteristics similar to those found on the Martian surface. Using a multidisciplinary approach, we studied the environmental data, geology, organic matter content, oxidant activity, and microbiology of this area. Our data show that (1) Mar de Cuarzo is a hyper arid area with a lower concentration of organic matter than those found in the Mars-like soils from Yungay area (Atacama Desert in Chile), while at the same time having, comparable extreme environmental conditions, and very low levels of microorganisms. (2) The detrital components of the soils come essentially from the Andean volcanic chain and local outcrops of Precambrian gneisses and Cretaceous granitic batholiths. (3) The presence of microclimates, geomorphological features, and the high influence of the ""El Niño Southern Oscillation (ENSO)"" allowed the formation of exotic and heterogeneous chemical deposits in these soils, including iron oxides, sulfates, and other evaporites. (4) Thermal volatilization in these soils (using methods similar to the Viking and Phoenix instruments) shows high oxidant activity. (5) Labeled release experiment (similar to the Viking instrument) shows high degradation of nutrients added in these soils. Altogether, the Mar de Cuarzo area in the Pampas de La Joya is an interesting place for astrobiological studies as a new analog to Mars, and for comparative analyses with other hyperarid analogs as Yungay.","['Valdivia-Silva, Julio E.', 'Navarro-González, Rafael', 'Ortega-Gutierrez, Fernando', 'Fletcher, Lauren E.', 'Perez-Montaño, Saúl', 'Condori-Apaza, Reneé', 'McKay, Christopher P.']",['10.1016/j.gca.2011.01.017'],Geochimica et Cosmochimica Acta,['Multidisciplinary approach of the hyperarid desert of Pampas de La Joya in southern Peru as a new Mars-like soil analog'],2011,13,ref_of_2014IJAsB..13...81P
2011Gbio....9..360G,"Elemental sulfur (S<SUP>0</SUP>) is deposited each summer onto surface ice at Borup Fiord pass on Ellesmere Island, Canada, when high concentrations of aqueous H<SUB>2</SUB>S are discharged from a supraglacial spring system. 16S rRNA gene clone libraries generated from sulfur deposits were dominated by β-Proteobacteria, particularly Ralstonia sp. Sulfur-cycling micro-organisms such as Thiomicrospira sp., and ∊-Proteobacteria such as Sulfuricurvales and Sulfurovumales spp. were also abundant. Concurrent cultivation experiments isolated psychrophilic, sulfide-oxidizing consortia, which produce S<SUP>0</SUP> in opposing gradients of Na<SUB>2</SUB>S and oxygen. 16S rRNA gene analyses of sulfur precipitated in gradient tubes show stable sulfur-biomineralizing consortia dominated by Marinobacter sp. in association with Shewanella, Loktanella, Rubrobacter, Flavobacterium, and Sphingomonas spp. Organisms closely related to cultivars appear in environmental 16S rRNA clone libraries; none currently known to oxidize sulfide. Once consortia were simplified to Marinobacter and Flavobacteria spp. through dilution-to-extinction and agar removal, sulfur biomineralization continued. Shewanella, Loktanella, Sphingomonas, and Devosia spp. were also isolated on heterotrophic media, but none produced S<SUP>0</SUP> alone when reintroduced to Na<SUB>2</SUB>S gradient tubes. Tubes inoculated with a Marinobacter and Shewanella spp. co-culture did show sulfur biomineralization, suggesting that Marinobacter may be the key sulfide oxidizer in laboratory experiments. Light, florescence and scanning electron microscopy of mineral aggregates produced in Marinobacter experiments revealed abundant cells, with filaments and sheaths variably mineralized with extracellular submicron sulfur grains; similar biomineralization was not observed in abiotic controls. Detailed characterization of mineral products associated with low temperature microbial sulfur-cycling may provide biosignatures relevant to future exploration of Europa and Mars.","['Gleeson, D. F.', 'Williamson, C.', 'Grasby, S. E.', 'Pappalardo, R. T.', 'Spear, J. R.', 'Templeton, A. S.']",['10.1111/j.1472-4669.2011.00283.x'],Geobiology,['Low temperature S<SUP>0</SUP> biomineralization at a supraglacial spring system in the Canadian High Arctic'],2011,15,ref_of_2014IJAsB..13...81P
2001EOSTr..82..501S,"Analogical science is science in absentia. Devoid of direct evidence or data sufficient to explain the physical and biochemical processes shaping Mars, Europa, and other non-terrestrial bodies, planetary scientists seek insight by referring to Earth-based analogues [Stone, 1999]. This means searching for a terrestrial source mirroring conditions of a non-terrestrial target, explaining activity at the target in terms of a theory extrapolated from the source, and then seeking observable evidence at the target to confirm analogical viability. An apt or meaningful analogy narrows the conceptual space between source and target, enabling the scientist to enhance his understanding of a distant target by studying a source closer at hand. Heretofore, there have been no clear rules or general criteria with which to evaluate the aptness or meaningfulness of an interplanetary analogy or terrestrial analogue. To redress this shortcomings three-rung empirically derived model is proposed.","['Soare, R.', 'Pollard, W.', 'Green, D.']",['10.1029/01EO00299'],EOS Transactions,['Deductive model proposed for evaluating terrestrial analogues'],2001,5,ref_of_2014IJAsB..13...81P
2013PLoSO...863083M,,"['Majhi, Manash Chandra', 'Behera, Abhisek Kumar', 'Kulshreshtha, Niha Mohan', 'Mahmooduzafar, Dr.', 'Kumar, Rita', 'Kumar, Anil']",['10.1371/journal.pone.0063083'],PLoS ONE,['ExtremeDB: A Unified Web Repository of Extremophilic Archaea and Bacteria'],2013,5,ref_of_2014IJAsB..13...81P
2003SPIE.4859..130P,"The bacterial diversity of microbial extremophiles from the meromictic, hypersaline Mono Lake and a small evaporite pool in Owens Lake of California was studied. In spite of these regions had differing mineral background and different concentrations of NaCl in water they contain the same halo- alkaliphiles anaerobic bacterial community. Three new species of bacteria were detected in this community: primary anaerobe, dissipotrophic saccharolytic spirochete Spirochaeta americana strain AspG1<SUP>T</SUP>, primary anaerobe which is proteolytic Tindallia californiensis strain APO<SUP>T</SUP>, and secondary anaerobe, hydrogen using Desulfonatronum thiodismutans strain MLF1<SUP>T</SUP>, which is sulfate- reducer with chemo-litho-autotrophic metabolism. All of these bacteria are obligate alkaliphiles and dependent upon Na<SUP>+</SUP> ions and CO<SUB>3</SUB><SUP>2- </SUP>ions in growth mediums. It is interesting that closest relationships for two of these species were isolates from samples of equatorial African soda Magadi lake: Spirochaeta americana AspG1<SUP>T</SUP> has 99.4% similarity on 16S rDNA- analyses with Spirochaeta alkalica Z- 7491<SUP>T</SUP>, and Tindallia californiensis APO<SUP>T</SUP> has 99.1% similarity with Tindallia magadiensis Z-7934<SUP>T</SUP>. But result of DNA-DNA- hybridization demonstrated less then 50% similarity between Spirochaeta americana AspG1<SUP>T</SUP> and Spirochaeta alkalica Z-7491<SUP>T</SUP>. Percent of homology between Tindallia californiensis APO<SUP>T</SUP> and Tindallia magadiensis Z-7934<SUP>T</SUP> is only 55%. The sulfate-reducer from the alkalic anaerobic community of Magadi lake Desulfonatronovibrio hydrogenovorans Z-7935<SUP>T</SUP> was phylogenetically distant from this sulfate-reducer in Mono lake, but genetically closer (99.7% similarity) to the sulfate-reducer, isolated from Central Asian alkalic lake Khadyn in Siberia Desulfonatronum lacustre Z-7951<SUP>T</SUP>. The study of key enzymes (hydrogenase and CO- hydrogenase) in Tindallia californiensis APO<SUP>T</SUP> and Desulfonatronum thiodismutans MLF1<SUP>T</SUP> showed the presence of high activity of both the enzymes in first and only hydrogenase in second isolate. These results indicate that the athalassic, soda Mono and Owens lakes contain an anaerobic alkaliphilic bacterial community with common ancestors of geographically distant regions, but very same in morphological and functional aspects. As suggested Zavarzin, halo- alkaliphiles may represent relics of microbial life from the early formation of the ancient Earth before the Neoproterozoic period.","['Pikuta, Elena V.', 'Detkova, Ekaterina N.', 'Bej, Asim K.', 'Marsic, Damien', 'Hoover, Richard B.']",['10.1117/12.463322'],"Instruments, Methods, and Missions for Astrobiology V.","['Anaerobic halo- alkaliphilic bacterial community of athalassic, hypersaline Mono lake and Owens Lake in California']",2003,3,ref_of_2014IJAsB..13...81P
2012AdSpR..49..821V,"The organic compounds on the Martian surface are still undetectable by the previous Viking mission that has been sent to Mars even though they are expected to be there by exogenous and/or endogenous synthesis. The high abiotic reactivity has been the most acceptable explanation for the apparently absence of organic matter in the regolith.Earth soils that have geochemical properties similar to those expected on the surface of Mars could help to decipher this question on the surface and shallow subsurface of the Red Planet. This work aims to demonstrate that the place known as the Pampas de La Joya desert in southern Peru, contains soils that have nonbiological chemical decomposition mechanisms of organic compounds under conditions of the Viking Labeled Release Experiment (LRx). We compare the organic decomposition kinetics of these hyper-arid soils with those seen in samples from arid and semiarid regions of the Atacama Desert, and data obtained by Viking LRx in the Martian regolith. <SUP>13</SUP>Carbon-labeled organic compounds (sodium formate, D-, and L-alanine) were added in aqueous solution to different soil samples in order to analyze the evolved carbon dioxide (<SUP>13</SUP>CO<SUB>2</SUB>) generated during their degradation. As expected, there were significant differences in the evolved gas behavior between soil samples under similar experimental conditions. When sodium formate was added to hyper-arid samples, there was a peak of <SUP>13</SUP>CO<SUB>2</SUB> gas released demonstrating high oxidation activity in the soil. Heat treatment of soil samples did not completely eliminate the CO<SUB>2</SUB> production. An increase in the decomposition rates ∼7 days after the first addition of organics showed a response consistent with biological activity. The addition of D- and L-alanine demonstrated that the production of <SUP>13</SUP>CO<SUB>2</SUB> due to biological decomposition began 5-8 days after incubation. Our results suggest that these soils from Pampas de La Joya present at least two types of oxidants, a thermostable one which is highly oxidative and survives heat-treatment, and other thermolabile oxidant which has light or moderate oxidizing activity and does not survives to the heat-treatment. So far the nature of oxidant(s) present in these soils is still unknown.","['Valdivia-Silva, Julio E.', 'Navarro-González, Rafael', 'de la Rosa, José McKay, Christopher P.']",['10.1016/j.asr.2011.12.012'],Advances in Space Research,['Decomposition of sodium formate and L- and D-alanine in the Pampas de La Joya soils: Implications as a new geochemical analogue to Martian regolith'],2012,3,ref_of_2014IJAsB..13...81P
2011Natur.479..485K,Brines percolating in the icy crust of Jupiter's moon Europa may be responsible for the satellite's enigmatic chaotic terrains. A new model predicts that one such terrain is currently forming over shallow subsurface water. See Letter p.502,"['Keszthelyi, Laszlo P.']",['10.1038/nature10701'],Nature,['Planetary science: Europa awakening'],2011,4,ref_of_2014IJAsB..13...81P
2008AsBio...8..427B,,"['Bryant, Elaine', 'Kress, Monika']",['10.1089/ast.2008.1252'],Astrobiology,['Session 28. Microbial Life in Terrestrial Arid Environments'],2008,4,ref_of_2014IJAsB..13...81P
